dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,name
0.053482093,0.018504709,0.021881014,0.014145044,0.003546054,0.00179806,0.092763864,0.044640068,0.003319313,0.012667514,0.045501977,0.100070931,0.01197389,0.002840697,0.012651149,0.006854931,0.017381283,0.006442715,0.009358726,0.012894511,0.023590561,0.018391421,0.008149426,0.025920717,0.013651872,0.114282586,0.021021616,0.005278502,0.012020007,0.021813249,0.026744353,0.008979977,0.007947306,0.003628725,0.008282905,0.024012409,0.044266693,0.023458287,0.012956,0.024992205,0.04625221,0.011640444,Doha
0.05308814,0.018298194,0.022045359,0.014327929,0.003558131,0.00180713,0.093957774,0.044772901,0.003303278,0.012933984,0.045221671,0.097369693,0.012081779,0.002863236,0.012630577,0.006903805,0.017320268,0.006425793,0.009434395,0.01300931,0.023630928,0.018184656,0.00823329,0.025827641,0.013865293,0.114244826,0.021393871,0.005248398,0.012092018,0.021662416,0.026927859,0.008840823,0.007901758,0.003633459,0.008398939,0.024297114,0.044643957,0.023795456,0.01290931,0.025062826,0.046178199,0.011673642,Doha
0.052822024,0.018583236,0.021882541,0.014212093,0.003556754,0.001788706,0.092517085,0.045883801,0.003307634,0.012788237,0.04538811,0.099596836,0.011968107,0.002832765,0.012728207,0.006845018,0.017566709,0.006434619,0.009363908,0.013055495,0.023405302,0.018448787,0.008287533,0.025689051,0.013917954,0.114913069,0.020945104,0.005241576,0.011810358,0.021766743,0.02650336,0.008949481,0.007896367,0.003591785,0.00823105,0.023991978,0.044327516,0.023087917,0.012829122,0.025032984,0.046340644,0.011670487,Doha
0.053053126,0.018300802,0.022089392,0.014359095,0.003558985,0.001799451,0.09373533,0.045011543,0.003302247,0.012954284,0.04527577,0.097231627,0.012056542,0.002865192,0.012626188,0.006899108,0.017271146,0.006446864,0.009433208,0.013021329,0.023631087,0.018211735,0.008243418,0.025778275,0.013878795,0.114129379,0.021395152,0.005246407,0.012076962,0.021699233,0.026911657,0.008815677,0.007907141,0.003633987,0.008411659,0.024256798,0.044762492,0.023798004,0.01286907,0.025074895,0.046311188,0.011665731,Doha
0.052969322,0.018653875,0.022187077,0.014210843,0.003599729,0.001788668,0.092004314,0.044633728,0.003343154,0.012686052,0.045677517,0.100444295,0.011956413,0.002875317,0.012623537,0.006894216,0.017476644,0.006540733,0.009245136,0.012950739,0.023505799,0.018281933,0.008193191,0.025690585,0.013743315,0.11446929,0.021174408,0.005250376,0.012037941,0.02198291,0.026545379,0.009066035,0.00786229,0.003621462,0.008170569,0.024204211,0.044146333,0.023431733,0.012914527,0.025067909,0.046195358,0.011683195,Doha
0.053217545,0.018301494,0.022093566,0.014288362,0.003550195,0.001810152,0.093400143,0.044769865,0.003307519,0.012886067,0.045558877,0.097838573,0.01204005,0.002871384,0.012558928,0.006895369,0.017345021,0.006471995,0.009456512,0.012918701,0.023689862,0.018271163,0.008215,0.02566961,0.013758524,0.11401365,0.021570737,0.005238762,0.012116907,0.021657463,0.02703624,0.008862577,0.007905829,0.003626547,0.008333362,0.024210636,0.04453798,0.023794305,0.013009815,0.025074538,0.046206128,0.011620059,Doha
0.053240739,0.018351933,0.022019636,0.014335341,0.003557843,0.001794258,0.091572575,0.045616262,0.003307662,0.012692147,0.045736685,0.099456154,0.011906263,0.002832532,0.012684333,0.006822947,0.017388657,0.00653942,0.009424103,0.01292348,0.023574444,0.018596251,0.008208422,0.025711436,0.013745927,0.114235789,0.021224024,0.005241325,0.011955947,0.021995403,0.026772207,0.008877415,0.007889388,0.003606131,0.008266534,0.02399835,0.044121977,0.023745883,0.012886844,0.025323898,0.046249546,0.011569889,Doha
0.053022485,0.018378174,0.022145087,0.014322921,0.003551903,0.001793651,0.092909001,0.045228709,0.003296888,0.012846459,0.045688696,0.097621992,0.012048096,0.002865067,0.012610168,0.006908572,0.01733241,0.006484237,0.009447632,0.012927298,0.023624212,0.018408777,0.008253503,0.025548402,0.013835601,0.113980956,0.021581218,0.005242883,0.012069786,0.021569587,0.026882766,0.00884562,0.007924083,0.003625212,0.008326801,0.024224436,0.0448182,0.02370654,0.012934603,0.025182873,0.046334784,0.011649819,Doha
0.053080797,0.018292453,0.0221343,0.014238564,0.003563596,0.001811082,0.093868829,0.044661261,0.003303453,0.012973994,0.04543699,0.098124288,0.012083071,0.002879384,0.012512251,0.006925169,0.017313611,0.006431614,0.009417756,0.012845103,0.023766508,0.018225834,0.008260088,0.025602274,0.013825429,0.113479845,0.021537812,0.005242266,0.01209815,0.021646792,0.026908988,0.008807132,0.007970236,0.003645825,0.008349953,0.024409307,0.04473342,0.023893254,0.01298821,0.024915216,0.046121892,0.011673995,Doha
0.053023886,0.018437658,0.021992538,0.014224014,0.003562889,0.001800017,0.092845142,0.045092586,0.003325492,0.012743187,0.045368079,0.099836089,0.01199034,0.002839567,0.012667945,0.006867525,0.017383605,0.006450345,0.009388139,0.01298367,0.023556385,0.018337961,0.008225913,0.025826635,0.013824315,0.114283063,0.021154765,0.005237796,0.012000851,0.021822968,0.02672511,0.008942807,0.00790529,0.003621574,0.008275973,0.024062712,0.044065226,0.023499705,0.012927325,0.025094489,0.046190605,0.011595772,Doha
